"","Title","Path","Box"
"6373","The Day After Tomorrow","/movies/?id=dayaftertomorrow.htm",186740799
"6927","Mr. & Mrs. Smith","/movies/?id=mrandmrssmith.htm",186336279
"13039","Pitch Perfect 2","/movies/?id=pitchperfect2.htm",184296230
"1816","Dances with Wolves","/movies/?id=danceswithwolves.htm",184208848
"3038","Batman Forever","/movies/?id=batmanforever.htm",184031112
"2522","The Fugitive","/movies/?id=fugitive.htm",183875760
"13040","The Revenant","/movies/?id=revenant.htm",183637894
"5033","Ocean's Eleven","/movies/?id=oceanseleven.htm",183417150
"8084","The Simpsons Movie","/movies/?id=simpsons.htm",183135014
"4656","What Women Want","/movies/?id=whatwomenwant.htm",182811707
"4657","The Perfect Storm","/movies/?id=perfectstorm.htm",182618434
"10983","Lincoln","/movies/?id=lincoln.htm",182207973
"3631","Liar Liar","/movies/?id=liarliar.htm",181410615
"5034","Jurassic Park III","/movies/?id=jurassicpark3.htm",181171875
"10378","Thor","/movies/?id=thor.htm",181030624
"3319","Mission: Impossible","/movies/?id=missionimpossible.htm",180981856
"13041","Ant-Man","/movies/?id=antman.htm",180202163
"5035","Planet of the Apes (2001)","/movies/?id=planetoftheapes01.htm",180011740
"8711","Madagascar: Escape 2 Africa","/movies/?id=madagascar2.htm",180010950
"9324","X-Men Origins: Wolverine","/movies/?id=wolverine.htm",179883157
"527","Indiana Jones and the Temple of Doom","/movies/?id=indianajonesandthetempleofdoom.htm",179870271
"6928","Hitch","/movies/?id=hitch.htm",179495555
"10984","MIB 3","/movies/?id=mib3.htm",179020854
"1817","Pretty Woman","/movies/?id=prettywoman.htm",178406268
"13042","Home (2015)","/movies/?id=happysmekday.htm",177397510
"9325","Night at the Museum: Battle of the Smithsonian","/movies/?id=nightatthemuseum2.htm",177243721
"231","Tootsie","/movies/?id=tootsie.htm",177200000
"12342","How to Train Your Dragon 2","/movies/?id=howtotrainyourdragon2.htm",177002924
"873","Top Gun","/movies/?id=topgun.htm",176781728
"10379","Rise of the Planet of the Apes","/movies/?id=riseoftheapes.htm",176760185
"10380","Captain America: The First Avenger","/movies/?id=captainamerica.htm",176654505
"9843","The Karate Kid","/movies/?id=karatekid2010.htm",176591618
"3933","There's Something About Mary","/movies/?id=somethingaboutmary.htm",176484651
"5390","Ice Age","/movies/?id=iceage.htm",176387405
"6374","The Bourne Supremacy","/movies/?id=bournesupremacy.htm",176241941
"874","Crocodile Dundee","/movies/?id=crocodiledundee.htm",174803506
"2286","Home Alone 2: Lost in New York","/movies/?id=homealone2.htm",173585516
"5867","Elf","/movies/?id=elf.htm",173398518
"6375","National Treasure","/movies/?id=nationaltreasure.htm",173008894
"3632","Air Force One","/movies/?id=airforceone.htm",172956409
"1320","Rain Man","/movies/?id=rainman.htm",172825435
"3039","Apollo 13","/movies/?id=apollo13.htm",172071312
"9844","Tron Legacy","/movies/?id=tron2.htm",172062763
"4271","The Matrix","/movies/?id=matrix.htm",171479930
"9845","True Grit","/movies/?id=truegrit2010.htm",171243005
"4272","Tarzan","/movies/?id=tarzan.htm",171091819
"5036","A Beautiful Mind","/movies/?id=beautifulmind.htm",170742341
"5391","Chicago","/movies/?id=chicago.htm",170687518
"10381","The Help","/movies/?id=help2011.htm",169708112
"13043","Hotel Transylvania 2","/movies/?id=hoteltransylvania2.htm",169700110
"10382","Bridesmaids","/movies/?id=wiigapatow.htm",169106725
