"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget"
"7661","Help! I'm a Fish","/movies/?id=helpimafish.htm",563911,"TVA","February","Unknown",80,"G",NA
"7662","Poolhall Junkies","/movies/?id=poolhalljunkies.htm",563711,"Gold Circle","February","Unknown",94,"R",NA
"7663","Hands on a Hard Body","/movies/?id=handsonahardbody.htm",563482,"Providence","July","Documentary",94,"PG",NA
"7664","The Fluffer","/movies/?id=fluffer.htm",563373,"First Run","November","Unknown",95,"Unrated",NA
"7665","Nobody's Fool (1986)","/movies/?id=nobodysfool86.htm",563358,"Island Pictures","November","Unknown",107,"PG-13",NA
"7666","Undefeated (2012)","/movies/?id=undefeated2012.htm",562218,"Weinstein Company","February","Documentary",113,"PG-13",NA
"7667","Steel Dawn","/movies/?id=steeldawn.htm",562187,"Vestron","November","Unknown",102,"R",NA
"7668","Code Name: Emerald","/movies/?id=codenameemerald.htm",561548,"MGM","September","War",95,"PG",NA
"7669","Museum Hours","/movies/?id=museumhours.htm",561457,"Cinema Guild","June","Foreign",107,"Unrated",NA
"7670","When Marnie Was There","/movies/?id=whenmarniewasthere.htm",561085,"GKIDS","May","Animation",103,"PG",NA
"7671","Rich Girl","/movies/?id=richgirl.htm",561000,"Studio Three","May","Romance",96,"R",NA
"7672","Jimmy's Hall","/movies/?id=jimmyshall.htm",560592,"Sony Classics","July","Historical Drama",109,"PG-13",NA
"7673","Tamara Drewe","/movies/?id=tamaradrewe.htm",560391,"Sony Classics","October","Comedy",107,"R",NA
"7674","Bottle Rocket","/movies/?id=bottlerocket.htm",560069,"Sony / Columbia","February","Crime Comedy",92,"R",7
"7675","The Grass Harp","/movies/?id=grassharp.htm",559771,"Fine Line","October","Comedy / Drama",107,"PG",NA
"7676","Twilight Samurai","/movies/?id=twilightsamurai.htm",559765,"Empire","April","Foreign",129,"Unrated",NA
"7677","A Little Chaos","/movies/?id=alittlechaos.htm",558173,"Focus Features","June","Drama",117,"R",NA
"7678","Forrest Gump (IMAX)","/movies/?id=forrestgumpimax.htm",557683,"Paramount","September","Drama",NA,"PG-13",NA
"7679","Romance and Cigarettes","/movies/?id=romanceandcigarettes.htm",557471,"Borotoro","September","Musical",115,"R",NA
"7680","The Attorney","/movies/?id=attorney.htm",557236,"Well Go USA","February","Foreign",127,"Unrated",NA
"7681","The Italian","/movies/?id=italian.htm",555436,"Sony Classics","January","Foreign",99,"PG-13",NA
"7682","The Greatest Miracle","/movies/?id=greatestmiracle.htm",555166,"KKM","October","Animation",72,"PG",NA
"7683","Reprise","/movies/?id=reprise.htm",554826,"Miramax","May","Foreign",105,"R",NA
"7684","American Violet","/movies/?id=americanviolet.htm",554434,"Samuel Goldwyn","April","Drama",103,"PG-13",NA
"7685","Love Me If You Dare","/movies/?id=lovemeifyoudare.htm",553504,"Paramount Classics","May","Unknown",93,"R",NA
"7686","Palindromes","/movies/?id=palindromes.htm",553368,"Wellspring","April","Drama",100,"Unrated",NA
"7687","The Reluctant Fundamentalist","/movies/?id=reluctantfundamentalist.htm",552959,"IFC","April","Thriller",128,"R",NA
"7688","Mesrine: Killer Instinct","/movies/?id=mesrine1.htm",551697,"Music Box Films","August","Crime Thriller",113,"R",NA
"7689","Mother (2010)","/movies/?id=mother2010.htm",551509,"Magnolia","March","Crime Drama",128,"R",NA
"7690","The Final Cut","/movies/?id=finalcut.htm",551281,"Lions Gate","October","Sci-Fi Thriller",104,"PG-13",NA
"7691","Ondine","/movies/?id=ondine.htm",550472,"Magnolia","June","Drama",102,"PG-13",12
"7692","All the Real Girls","/movies/?id=alltherealgirls.htm",549666,"Sony Classics","February","Unknown",108,"R",NA
"7693","The Lost Medallion","/movies/?id=lostmedallion.htm",549632,"Methinx Entertainment","March","Family Adventure",97,"PG",NA
"7694","23 Blast","/movies/?id=23blast.htm",549185,"Ocean Avenue Entertainment","October","Sports Drama",98,"PG-13",NA
"7695","Vicky Donor","/movies/?id=vickydonor.htm",549001,"Eros","April","Foreign",142,"Unrated",NA
"7696","From Mexico with Love","/movies/?id=frommexicowithlove.htm",548787,"Roadside Attractions","October","Sports Drama",98,"PG-13",NA
"7697","Amazon Women on the Moon","/movies/?id=amazonwomenonthemoon.htm",548696,"Universal","September","Unknown",85,"R",NA
"7698","Commandments","/movies/?id=commandments.htm",548561,"Gramercy","May","Unknown",88,"R",6
"7699","We Have a Pope","/movies/?id=wehaveapope.htm",548115,"IFC","April","Foreign",105,"Unrated",NA
"7700","Beyond the Reef","/movies/?id=beyondthereef.htm",547525,"Universal","April","Unknown",NA,"PG",NA
"7701","Remember","/movies/?id=remembercanada.htm",547009,"Entertainment One","October","Drama / Thriller",95,"R",NA
"7702","Devil in the Flesh","/movies/?id=devilintheflesh.htm",546904,"Orion Classics","May","Drama",92,"R",NA
"7703","Heavy Metal (re-issue)","/movies/?id=meavymetal96.htm",546545,"Sony / Columbia","March","Animation",90,"R",NA
"7704","Changing Times","/movies/?id=changingtimes.htm",545255,"Koch Lorber Films","July","Foreign",100,"Unrated",NA
"7705","A Map of the World","/movies/?id=mapoftheworld.htm",544965,"First Look","December","Unknown",125,"R",NA
"7706","Jet Lag","/movies/?id=jetlag.htm",544964,"Miramax","June","Unknown",91,"R",NA
"7707","The Art of the Steal","/movies/?id=theartofthesteal.htm",544890,"IFC","February","Documentary",101,"Unrated",NA
"7708","Love & Sex","/movies/?id=loveandsex.htm",543896,"Lions Gate","August","Romantic Comedy",82,"R",NA
"7709","Dream with the Fishes","/movies/?id=dreamwiththefishes.htm",543708,"Sony Classics","June","Unknown",97,"R",NA
"7710","Double Dhamaal","/movies/?id=doubledhamaal.htm",543646,"Reliance Big Pictures","June","Foreign",138,"Unrated",NA
"7711","Facing Windows","/movies/?id=facingwindows.htm",543354,"Sony Classics","June","Foreign",106,"R",NA
"7712","Winter in Wartime","/movies/?id=winterinwartime.htm",543100,"Sony Classics","March","Foreign",103,"R",NA
"7713","The Ballad of Little Jo","/movies/?id=balladoflittlejo.htm",543091,"Fine Line","August","Western",121,"R",NA
"7714","On Any Sunday: The Next Chapter","/movies/?id=onanysundayter.htm",543044,"Hannover House","November","Documentary",90,"PG",NA
"7715","Love and Human Remains","/movies/?id=loveandhumanremains.htm",542985,"Sony Classics","June","Comedy / Drama",100,"R",NA
"7716","Joshua: Then and Now","/movies/?id=joshuathenandnow.htm",542420,"Fox","September","Unknown",119,"R",NA
"7717","Jack Goes Boating","/movies/?id=jackgoesboating.htm",541992,"Overture Films","September","Comedy",89,"R",NA
"7718","Khatta Meetha","/movies/?id=khattameetha.htm",541904,"Eros","July","Foreign",155,"Unrated",NA
"7719","20 Dates","/movies/?id=20dates.htm",541636,"Fox Searchlight","February","Unknown",87,"R",NA
"7720","Strike It Rich","/movies/?id=strikeitrich.htm",541626,"Miramax","January","Comedy",84,"PG",NA
"7721","Broken English (1997)","/movies/?id=brokenenglish97.htm",541377,"Sony Classics","May","Drama",92,"R",NA
"7722","Passionada","/movies/?id=passionada.htm",540833,"IDP","August","Unknown",105,"PG-13",NA
"7723","Nobel Son","/movies/?id=nobelson.htm",540382,"Freestyle Releasing","December","Crime Thriller",110,"R",NA
"7724","Being Flynn","/movies/?id=beingflynn.htm",540152,"Focus Features","March","Comedy / Drama",86,"R",NA
"7725","Buster","/movies/?id=buster.htm",540000,"Hemdale","November","Unknown",94,"R",NA
"7726","Max","/movies/?id=max.htm",539879,"Lions Gate","December","Unknown",109,"R",NA
"7727","Love Crime","/movies/?id=lovecrime.htm",539792,"IFC","September","Foreign",106,"Unrated",NA
"7728","The House of Sand","/movies/?id=houseofsand.htm",539285,"Sony Classics","August","Foreign",114,"R",NA
"7729","Machine Gun Preacher","/movies/?id=machinegunpreacher.htm",538690,"Relativity","September","Action",123,"R",30
"7730","Tom and Viv","/movies/?id=tomandviv.htm",538534,"Miramax","December","Romance",115,"PG-13",NA
"7731","By the Sea","/movies/?id=bythesea.htm",538460,"Universal","November","Drama",122,"R",10
"7732","Clockwatchers","/movies/?id=clockwatchers.htm",537948,"Artistic License","May","Unknown",96,"PG-13",NA
"7733","Kids in America","/movies/?id=kidsinamerica.htm",537667,"Slowhand Cinema","October","Comedy",91,"PG-13",NA
"7734","Incident at Oglala","/movies/?id=incidentatoglala.htm",536848,"Miramax","May","Documentary",90,"PG",NA
"7735","The Young Poisoner's Handbook","/movies/?id=youngpoisonershandbook.htm",536825,"Lions Gate","February","Comedy Thriller",99,"R",NA
"7736","Eddie and the Cruisers II","/movies/?id=eddieandthecruisers2.htm",536508,"Scotti Bros.","August","Unknown",103,"PG-13",NA
"7737","Poltergeist (re-issue)","/movies/?id=poltergeist83.htm",536108,"MGM","May","Unknown",114,"PG",NA
"7738","The Underneath","/movies/?id=underneath.htm",536023,"Gramercy","April","Crime Thriller",100,"R",NA
"7739","Shall We Kiss?","/movies/?id=shallwekiss.htm",535499,"Music Box Films","March","Foreign",102,"Unrated",NA
"7740","Cattle Annie and Little Britches","/movies/?id=cattleannieandlittlebritches.htm",534816,"Universal","April","Western",NA,"PG",NA
"7741","Hard Country","/movies/?id=hardcountry.htm",534653,"Universal","May","Unknown",NA,"Unrated",NA
"7742","Gabbar is Back","/movies/?id=gabbarisback.htm",534601,"Eros","May","Foreign",128,"Unrated",NA
"7743","Ai Weiwei: Never Sorry","/movies/?id=aiweiweineversorry.htm",534100,"IFC","July","Documentary",90,"R",NA
"7744","Traveller","/movies/?id=traveller.htm",534010,"October","April","Unknown",101,"R",NA
"7745","Wild Man Blues","/movies/?id=wildmanblues.htm",533759,"New Line","April","Documentary",105,"PG",NA
"7746","Masked and Anonymous","/movies/?id=maskedandanonymous.htm",533569,"Sony Classics","July","Unknown",106,"PG-13",NA
"7747","Bread and Roses","/movies/?id=breadandroses.htm",533479,"Lions Gate","May","Drama",110,"R",NA
"7748","Hangin' with the Homeboys","/movies/?id=hanginwiththehomeboys.htm",532933,"New Line","February","Comedy",89,"R",NA
"7749","Noah's Arc: Jumping the Broom","/movies/?id=noahsarc.htm",532878,"Logo Features","October","Comedy / Drama",101,"R",NA
"7750","Boys Life 2","/movies/?id=boyslife2.htm",532654,"Strand","March","Unknown",79,"Unrated",NA
"7751","Gabbeh","/movies/?id=gabbeh.htm",532629,"New Yorker","June","Foreign",75,"Unrated",NA
"7752","Funny Bones","/movies/?id=funnybones.htm",532268,"Buena Vista","March","Comedy",128,"R",NA
"7753","Where Do We Go Now?","/movies/?id=wheredowegonow.htm",531997,"Sony Classics","May","Foreign",110,"PG-13",NA
"7754","Standing Ovation","/movies/?id=standingovation.htm",531806,"Rocky Mountain Pictures","July","Family",106,"PG",NA
"7755","Mademoiselle Chambon","/movies/?id=mademoisellechambon.htm",531685,"Lorber Films","May","Romance",101,"Unrated",NA
"7756","Sex Is...","/movies/?id=sexis.htm",530833,"Outsider Films","May","Documentary",82,"Unrated",NA
"7757","Sex, Drugs, Rock and Roll","/movies/?id=sexsdrugsrockandroll.htm",530392,"Avenue Pict.","September","Concert",96,"R",NA
"7758","Things to Do in Denver When You're Dead","/movies/?id=thingstodoindenverwhenyouredead.htm",529766,"Miramax","December","Crime",115,"R",NA
"7759","Metropolis (2010 re-issue)","/movies/?id=metropolis2010reissue.htm",529603,"Kino","May","Sci-Fi",120,"Unrated",NA
"7760","Highway (2014)","/movies/?id=highway2014.htm",529136,"UTV Communications","February","Foreign",132,"Unrated",NA
"7761","Fitoor","/movies/?id=fitoor.htm",528799,"UTV Communications","February","Romance",130,"Unrated",NA
"7762","The Man From Nowhere","/movies/?id=manfromnowhere.htm",528175,"CJ Entertainment","October","Foreign",NA,"R",NA
"7763","The First Monday in May","/movies/?id=thefirstmondayinmay.htm",527474,"Magnolia","April","Documentary",90,"PG-13",NA
"7764","Veer (2010)","/movies/?id=veer2010.htm",527193,"Eros","January","Historical Drama",NA,"Unrated",NA
"7765","A Great Day in Harlem","/movies/?id=greatdayinharlem.htm",527034,"Castle Hill","February","Documentary",60,"Unrated",NA
"7766","National Lampoon's Gold Diggers","/movies/?id=golddiggers04.htm",527000,"P & A Releasing","September","Comedy",87,"PG-13",NA
"7767","Scandalous","/movies/?id=scandalous.htm",526805,"Orion Pictures","January","Unknown",94,"PG",NA
"7768","The Innocent","/movies/?id=innocent.htm",525955,"Miramax","September","Drama / Thriller",119,"R",NA
"7769","Our Lady of the Assassins","/movies/?id=outladyoftheassassins.htm",525330,"Paramount Classics","September","Foreign",98,"R",NA
"7770","Still Crazy","/movies/?id=stillcrazy.htm",524864,"Sony / Columbia","January","Unknown",95,"R",NA
"7771","Proof","/movies/?id=proof92.htm",524668,"Fine Line","March","Drama",100,"R",NA
"7772","The Last - Naruto the Movie","/movies/?id=lastnaruto.htm",524451,"Eleven Arts","February","Animation",112,"Unrated",NA
"7773","Weavers: Wasn't That a Time","/movies/?id=weavers.htm",524203,"MGM","March","Unknown",78,"PG",NA
"7774","Dom Hemingway","/movies/?id=domhemingway.htm",523511,"Fox Searchlight","April","Crime",93,"R",NA
"7775","The Myth of Fingerprints","/movies/?id=mythoffingerprints.htm",523025,"Sony Classics","September","Unknown",93,"R",NA
"7776","Shaandaar","/movies/?id=shaandaar.htm",521794,"FIP","October","Romantic Comedy",144,"Unrated",NA
"7777","Trouble the Water","/movies/?id=troublethewater.htm",520151,"Zeitgeist","August","Documentary",93,"Unrated",NA
"7778","Man on Fire (1987)","/movies/?id=manonfire87.htm",519596,"TriStar","October","Unknown",92,"R",NA
"7779","Death of a President","/movies/?id=deathofapresident.htm",519086,"Newmarket","October","Drama / Thriller",90,"R",2
"7780","Thelonious Monk: Straight, No Chaser","/movies/?id=theloniousmonk.htm",518918,"Warner Bros.","October","Documentary",90,"PG-13",NA
"7781","Tetro","/movies/?id=tetro.htm",518522,"American Zoetrope","June","Drama",127,"R",NA
"7782","Scatter My Ashes at Bergdorf's","/movies/?id=scattermyashes.htm",518342,"Entertainment One","May","Documentary",93,"PG-13",NA
"7783","Even the Rain","/movies/?id=eventherain.htm",518017,"Vitagraph","February","Foreign",103,"Unrated",NA
"7784","Leo and Loree","/movies/?id=leoandloree.htm",517988,"MGM","February","Unknown",97,"Unrated",NA
"7785","The Grey Zone","/movies/?id=greyzone.htm",517872,"Lions Gate","October","Unknown",108,"R",NA
"7786","A Guide to Recognizing Your Saints","/movies/?id=guidetorecognizingyoursaints.htm",517809,"First Look","September","Drama",98,"R",NA
"7787","Donnie Darko","/movies/?id=donniedarko.htm",517375,"Newmarket","October","Fantasy Drama",113,"R",6
"7788","Madison","/movies/?id=madison.htm",517262,"United Artists","April","Sports Drama",94,"PG",NA
"7789","Black Panthers: Vanguard of the Revolution","/movies/?id=blackpanthersvanguard.htm",516893,"PBS Distribution","September","Documentary",113,"Unrated",NA
"7790","The Trials of Henry Kissinger","/movies/?id=trialsofhenrykissinger.htm",516726,"First Run","September","Documentary",80,"Unrated",NA
"7791","Voyager","/movies/?id=voyager.htm",516517,"Castle Hill","January","Drama",117,"PG-13",NA
"7792","Rhapsody in August","/movies/?id=rhapsodyinaugust.htm",516431,"Orion Classics","December","Foreign",98,"PG",NA
"7793","Boys","/movies/?id=boys.htm",516349,"Buena Vista","May","Unknown",86,"PG-13",NA
"7794","Ghost in the Shell","/movies/?id=ghostintheshell.htm",515905,"Palm","February","Animation",82,"Unrated",NA
"7795","The Face Reader","/movies/?id=facereader.htm",515876,"Pan Media & Entertainment","October","Foreign",142,"Unrated",NA
"7796","Preacher's Kid","/movies/?id=preacherskid.htm",515065,"8X Entertainment","January","Drama",101,"PG-13",NA
"7797","A Hard Day's Night (2014 re-release)","/movies/?id=harddaysnight14.htm",515005,"Janus Films","July","Musical",87,"G",NA
"7798","Federal Hill","/movies/?id=federalhill.htm",514775,"Trimark","December","Unknown",100,"R",NA
"7799","The Cremaster Cycle","/movies/?id=cremastercycle.htm",514622,"Palm","April","Unknown",182,"Unrated",NA
"7800","The Polar Express (IMAX re-issue 2009)","/movies/?id=polarexpressimax09.htm",514354,"Warner Bros.","November","IMAX",100,"G",NA
"7801","The Names of Love","/movies/?id=namesoflove.htm",514237,"Music Box Films","June","Foreign",100,"R",NA
"7802","The One I Love","/movies/?id=oneilove.htm",513447,"Radius-TWC","August","Romantic Comedy",91,"R",NA
"7803","Big Eden","/movies/?id=bigeden.htm",512451,"Jour de Fete","June","Unknown",108,"PG-13",NA
"7804","Mifune","/movies/?id=mifune.htm",512434,"Sony Classics","February","Unknown",99,"R",NA
"7805","The Assault","/movies/?id=assault.htm",512403,"Cannon Films","September","Foreign",144,"PG",NA
"7806","Safe","/movies/?id=safe.htm",512245,"Sony Classics","June","Unknown",119,"R",NA
"7807","The Eye (2003)","/movies/?id=eye.htm",512049,"Palm","June","Foreign / Horror",100,"Unrated",NA
"7808","Unsullied","/movies/?id=unsullied.htm",510957,"Indican","April","Action Horror",92,"R",NA
"7809","The Tall Guy","/movies/?id=tallguy.htm",510712,"Miramax","September","Unknown",92,"R",NA
"7810","Shut Up and Play the Hits","/movies/?id=shutupandplaythehits.htm",510334,"Oscilloscope Pictures","July","Concert",108,"Unrated",NA
"7811","Tracks (2014)","/movies/?id=tracks2014.htm",510007,"Weinstein Company","September","Drama",102,"PG-13",NA
"7812","Karmina 2: L'enfer de Chabot","/movies/?id=karmina2.htm",508969,"Alliance","July","Unknown",NA,"Unrated",NA
"7813","Creature (2011)","/movies/?id=creature2011.htm",508714,"Bubble Distribution","September","Horror",93,"R",NA
"7814","2007 Academy Award Nominated Short Films","/movies/?id=2007shortfilms.htm",508695,"Magnolia","February","Unknown",90,"Unrated",NA
"7815","The Passion Recut","/movies/?id=passionrecut.htm",508326,"Newmarket","March","Fantasy Drama",120,"Unrated",NA
"7816","Mr. Death","/movies/?id=mrdeath.htm",507941,"Lions Gate","December","Documentary",91,"PG-13",NA
"7817","Dirty Dancing (Re-issue)","/movies/?id=dirtydancing98.htm",507892,"Live","August","Unknown",105,"PG-13",NA
"7818","The Two Faces of January","/movies/?id=twofacesofjanuary.htm",507463,"Magnolia","September","Thriller",98,"PG-13",NA
"7819","Travellers and Magicians","/movies/?id=travellersandmagicians.htm",506793,"Zeitgeist","January","Foreign",107,"Unrated",NA
"7820","Manna from Heaven","/movies/?id=mannafromheaven.htm",505675,"Five Sisters","August","Comedy",119,"PG",NA
"7821","Pippi Longstocking","/movies/?id=pippilongstocking.htm",505335,"Legacy","August","Unknown",75,"G",NA
"7822","Blizzard","/movies/?id=blizzard.htm",504600,"Alliance","December","Unknown",93,"G",NA
"7823","The Return","/movies/?id=return.htm",504256,"Kino","February","Unknown",105,"Unrated",NA
"7824","Heartbreaker","/movies/?id=heartbreaker2010.htm",504030,"IFC","September","Foreign",105,"Unrated",NA
"7825","Girlstown","/movies/?id=girlstown.htm",503667,"October","August","Unknown",90,"R",NA
"7826","Manny amd Lo","/movies/?id=mannyandlo.htm",502313,"Sony Classics","July","Unknown",88,"R",NA
"7827","Deli Man","/movies/?id=deliman.htm",502294,"Cohen Media Group","February","Documentary",92,"PG-13",NA
"7828","Dream Lover","/movies/?id=dreamlove86r.htm",502237,"MGM","February","Thriller",104,"R",NA
"7829","Cube","/movies/?id=cube.htm",501818,"Trimark","September","Sci-Fi Horror",90,"R",NA
"7830","Bride Flight","/movies/?id=brideflight.htm",501360,"Music Box Films","June","Drama",130,"R",NA
"7831","Alice et Martin","/movies/?id=aliceetmartin.htm",500896,"USA Films","July","Unknown",123,"R",NA
"7832","The Killing Time","/movies/?id=killingtime.htm",500283,"New World","October","Crime Thriller",94,"R",NA
"7833","Fireworks","/movies/?id=fireworks.htm",5e+05,"Milestone","March","Foreign",103,"Unrated",NA
"7834","Delicacy","/movies/?id=delicacy.htm",498584,"Cohen Media Group","March","Foreign",108,"PG-13",NA
"7835","Peggy Guggenheim Art Addict","/movies/?id=peggyguggenheimartaddict.htm",498428,"Submarine Deluxe","November","Documentary",96,"Unrated",NA
"7836","Marguerite","/movies/?id=marguerite.htm",497323,"Cohen Media Group","March","Drama",129,"R",NA
"7837","Taxi 3","/movies/?id=taxi3.htm",497208,"Christal Films","May","Unknown",84,"Unrated",1.3
"7838","The Five Senses","/movies/?id=fivesenses.htm",497091,"Fine Line","July","Unknown",106,"R",NA
"7839","Mere Brother Ki Dulhan","/movies/?id=merebrotherkidulhan.htm",496172,"Yash Raj","September","Foreign",145,"Unrated",NA
"7840","Bent","/movies/?id=bent.htm",496059,"Samuel Goldwyn","November","Unknown",108,"NC-17",NA
"7841","The Inevitable Defeat of Mister and Pete","/movies/?id=misterandpete.htm",494608,"Lionsgate","October","Drama",108,"R",NA
"7842","Steve Jobs: The Man in the Machine","/movies/?id=stevejobsmaninthemachine.htm",494506,"Magnolia","September","Documentary",128,"R",NA
"7843","L'Incomparable Mademoiselle C.","/movies/?id=lincomparablemademoisellec.htm",493905,"Christal Films","April","Unknown",102,"Unrated",NA
"7844","The City of Your Final Destination","/movies/?id=cityofyourfinaldestination.htm",493296,"Screen Media","April","Drama / Thriller",114,"PG-13",8.3
"7845","Man of Iron","/movies/?id=manofiron.htm",492035,"MGM","November","Unknown",153,"PG",NA
"7846","A Girl Walks Home Alone at Night","/movies/?id=girlwalkshomealone.htm",491910,"Kino Lorber","November","Foreign",99,"Unrated",NA
"7847","The Boy and the Beast","/movies/?id=theboyandthebeast.htm",490643,"FUNimation Films","March","Animation",119,"PG-13",NA
"7848","Tape","/movies/?id=tape.htm",490475,"Lions Gate","November","Unknown",84,"R",NA
"7849","Kismat Konnection","/movies/?id=kismatkonnection.htm",490154,"UTV Communications","July","Foreign",151,"Unrated",NA
"7850","Phantom (2015)","/movies/?id=phantom15.htm",489984,"UTV Communications","August","Action Drama",136,"Unrated",NA
"7851","Seducing Doctor Lewis","/movies/?id=seducingdoctorlewis.htm",489838,"Wellspring","June","Foreign",108,"Unrated",NA
"7852","Shaolin Soccer","/movies/?id=shaolinsoccer.htm",489600,"Miramax","April","Foreign / Action",86,"PG",NA
"7853","Saint Ralph","/movies/?id=saintralph.htm",489389,"IDP","August","Sports Drama",98,"PG-13",NA
"7854","Bonneville","/movies/?id=bonneville.htm",488393,"SenArt/Scranton-Lacy Films","February","Drama",93,"PG",NA
"7855","The Browning Version","/movies/?id=browningversion.htm",487391,"Paramount","October","Period Drama",97,"R",NA
"7856","Krazzy 4","/movies/?id=krazzy4.htm",487215,"Eros","April","Foreign",115,"Unrated",NA
"7857","Act of Killing","/movies/?id=actofkilling.htm",486919,"Drafthouse","July","Documentary",115,"Unrated",NA
"7858","Paranoid Park","/movies/?id=paranoidpark.htm",486767,"IFC","March","Drama",80,"R",NA
"7859","September","/movies/?id=september.htm",486434,"Orion Pictures","December","Unknown",83,"PG",NA
"7860","Meet the Applegates","/movies/?id=meettheapplegates.htm",485772,"Triton","February","Unknown",90,"R",NA
"7861","Umrao Jaan","/movies/?id=umraojaan.htm",485000,"AdLabs","November","Foreign",180,"Unrated",NA
"7862","Weekend (2011)","/movies/?id=weekend2011.htm",484592,"IFC","September","Drama",97,"Unrated",NA
"7863","Aaja Nachle","/movies/?id=aajanachle.htm",484108,"Yash Raj","November","Foreign",145,"Unrated",NA
"7864","Strayed","/movies/?id=strayed.htm",482757,"Wellspring","May","Foreign",95,"Unrated",NA
"7865","Joshua","/movies/?id=joshua.htm",482355,"Fox Searchlight","July","Drama / Thriller",105,"R",NA
"7866","Somewhere Only We Know","/movies/?id=somewhereonlyweknow.htm",482341,"China Lion","February","Foreign",109,"Unrated",NA
"7867","Little Ashes","/movies/?id=littleashes.htm",481586,"Regent Releasing","May","Period Drama",107,"R",NA
"7868","Flamenco","/movies/?id=flamenco.htm",480941,"New Yorker","April","Unknown",100,"Unrated",NA
"7869","DOA: Dead or Alive","/movies/?id=doadeadoralive.htm",480813,"Weinstein / Dimension","June","Action",86,"PG-13",NA
"7870","Bully","/movies/?id=bully.htm",480811,"Lions Gate","July","Unknown",100,"R",NA
"7871","Crossing the Bridge","/movies/?id=crossingthebridge.htm",479676,"Buena Vista","September","Unknown",104,"R",NA
"7872","Just Another Girl on the IRT","/movies/?id=justanothergirlontheirt.htm",479169,"Miramax","March","Unknown",96,"R",NA
"7873","Nine Lives","/movies/?id=ninelives.htm",478830,"Magnolia","October","Drama",110,"R",NA
"7874","Queen to Play","/movies/?id=queentoplay.htm",478710,"Zeitgeist","April","Foreign",96,"Unrated",NA
"7875","Brotherly Love","/movies/?id=brotherlylove.htm",478595,"Freestyle Releasing","April","Drama",89,"R",NA
"7876","The Last September","/movies/?id=lastseptember.htm",478053,"Trimark","April","Unknown",104,"R",NA
"7877","Casa de Los Babys","/movies/?id=casadelosbabys.htm",478031,"IFC","September","Unknown",95,"R",NA
"7878","The Baader Meinhof Complex","/movies/?id=baadermeinhofcomplex.htm",476270,"Vitagraph","August","Foreign",150,"R",NA
"7879","Bhoothnath","/movies/?id=bhoothnath.htm",476032,"Eros","May","Foreign",136,"Unrated",NA
"7880","Drona","/movies/?id=drona.htm",475104,"Eros","October","Foreign",144,"Unrated",NA
"7881","Plunkett and Macleane","/movies/?id=plunkettandmacleane.htm",474900,"USA Films","October","Unknown",93,"R",NA
"7882","Detective Chinatown (Tang ren jie tan an)","/movies/?id=detectivechinatown.htm",474252,"China Lion","January","Foreign",136,"Unrated",NA
"7883","Party Girl","/movies/?id=partygirl.htm",472370,"First Look","June","Unknown",94,"R",NA
"7884","Artie Lange's Beer League","/movies/?id=beerleague.htm",472185,"Echo Bridge Entertainment","September","Sports Comedy",86,"R",NA
"7885","The Flat","/movies/?id=flat.htm",471842,"IFC","October","Foreign",97,"Unrated",NA
"7886","Pearl Jam Twenty","/movies/?id=pearljamtwenty.htm",471334,"Abramorama","September","Documentary",109,"Unrated",NA
"7887","The Affair of the Necklace","/movies/?id=affairofthenecklace.htm",471210,"Warner Bros.","November","Unknown",118,"R",NA
"7888","About Elly","/movies/?id=aboutelly.htm",470760,"Cinema Guild","April","Drama",119,"Unrated",NA
"7889","JCVD","/movies/?id=jcvd.htm",470691,"Peace Arch Entertainment","November","Action",92,"R",NA
"7890","Kelly","/movies/?id=kelly.htm",469777,"Paramount","March","Unknown",94,"Unrated",NA
"7891","A Midwinter's Tale","/movies/?id=midwinterstale.htm",469571,"Sony Classics","February","Unknown",99,"R",NA
"7892","Maybe, Maybe Not","/movies/?id=maybemaybenot.htm",468930,"Orion Classics","June","Foreign",93,"R",NA
"7893","Steamboy","/movies/?id=steamboy.htm",468867,"Triumph","March","Animation",126,"PG-13",22
"7894","Joe Gould's Secret","/movies/?id=joegouldssecret.htm",468684,"USA Films","April","Unknown",104,"R",NA
"7895","Submarine","/movies/?id=submarine.htm",467602,"Weinstein Company","June","Comedy / Drama",97,"R",NA
"7896","The Housekeeper","/movies/?id=housekeeper.htm",467288,"Palm","July","Unknown",91,"R",NA
"7897","Tully","/movies/?id=tully.htm",466664,"Small Planet","November","Unknown",102,"Unrated",NA
"7898","La Ligne brisee","/movies/?id=lalignebrisee.htm",466309,"Alliance","March","Foreign",NA,"Unrated",NA
"7899","Last Days in Vietnam","/movies/?id=lastdaysinvietnam.htm",466114,"American Experience Films","September","Documentary",98,"Unrated",NA
"7900","Blue Car","/movies/?id=bluecar.htm",465310,"Miramax","May","Drama",88,"R",NA
"7901","Venus Beauty Institute","/movies/?id=venusbeautyinstitute.htm",465080,"Lot 47","October","Foreign",NA,"R",NA
"7902","Church Ball","/movies/?id=churchball.htm",464991,"Halestorm","March","Comedy",91,"PG",NA
"7903","Colonel Chabert","/movies/?id=colonelchabert.htm",464284,"October","December","Foreign",110,"Unrated",NA
"7904","The Last Shot","/movies/?id=lastshot.htm",464275,"Buena Vista","September","Comedy",93,"R",NA
"7905","Slaves of New York","/movies/?id=slavesofnewyork.htm",463972,"TriStar","March","Unknown",124,"R",NA
