"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget"
"72","The Hunger Games: Mockingjay - Part 2","/movies/?id=hungergames4.htm",281723902,"Lionsgate","November","Action / Adventure",137,"PG-13",160
"73","The Matrix Reloaded","/movies/?id=matrixreloaded.htm",281576461,"Warner Bros.","May","Sci-Fi Action",138,"R",150
"74","The Twilight Saga: Breaking Dawn Part 1","/movies/?id=breakingdawn.htm",281287133,"Summit Entertainment","November","Romance",108,"PG-13",110
"75","Meet the Fockers","/movies/?id=meetthefockers.htm",279261160,"Universal","December","Comedy",114,"PG-13",80
"76","The Hangover","/movies/?id=hangover.htm",277322503,"Warner Bros.","June","Comedy",96,"R",35
"77","Gravity","/movies/?id=gravity.htm",274092705,"Warner Bros.","October","Sci-Fi Thriller",91,"PG-13",100
"78","Monsters University","/movies/?id=monstersinc2.htm",268492764,"Buena Vista","June","Animation",107,"G",NA
"79","Shrek","/movies/?id=shrek.htm",267665011,"DreamWorks","May","Animation",90,"PG",60
"80","The Amazing Spider-Man","/movies/?id=spiderman4.htm",262030663,"Sony / Columbia","July","Action / Adventure",136,"PG-13",230
"81","Harry Potter and the Chamber of Secrets","/movies/?id=harrypotter2.htm",261988482,"Warner Bros.","November","Fantasy",161,"PG",100
"82","The Incredibles","/movies/?id=incredibles.htm",261441092,"Buena Vista","November","Animation",115,"PG",92
"83","How the Grinch Stole Christmas","/movies/?id=grinch.htm",260044825,"Universal","November","Family Comedy",104,"PG",123
"84","Captain America: The Winter Soldier","/movies/?id=marvel14b.htm",259766572,"Buena Vista","April","Action / Adventure",136,"PG-13",170
"85","The Hobbit: The Desolation of Smaug","/movies/?id=hobbit2.htm",258366855,"Warner Bros. (New Line)","December","Fantasy",161,"PG-13",NA
"86","The LEGO Movie","/movies/?id=lego.htm",257760692,"Warner Bros.","February","Animation",100,"PG",60
"87","Star Trek","/movies/?id=startrek11.htm",257730019,"Paramount","May","Sci-Fi Adventure",126,"PG-13",150
"88","I Am Legend","/movies/?id=iamlegend.htm",256393010,"Warner Bros.","December","Sci-Fi Horror",100,"PG-13",150
"89","The Blind Side","/movies/?id=blindside.htm",255959475,"Warner Bros.","November","Sports Drama",126,"PG-13",29
"90","Monsters, Inc.","/movies/?id=monstersinc.htm",255873250,"Buena Vista","November","Animation",90,"G",115
"91","The Hobbit: The Battle of the Five Armies","/movies/?id=hobbit3.htm",255119788,"Warner Bros. (New Line)","December","Fantasy",144,"PG-13",NA
"92","The Hangover Part II","/movies/?id=hangover2.htm",254464305,"Warner Bros.","May","Comedy",102,"R",80
"93","Return of the Jedi","/movies/?id=starwars6.htm",252583617,"Fox","May","Sci-Fi Fantasy",134,"PG",32.5
"94","Despicable Me","/movies/?id=despicableme.htm",251513985,"Universal","July","Animation",95,"PG",69
"95","Batman","/movies/?id=batman.htm",251188924,"Warner Bros.","June","Action / Adventure",126,"PG-13",35
"96","Night at the Museum","/movies/?id=nightatthemuseum.htm",250863268,"Fox","December","Family Adventure",108,"PG",NA
"97","Men in Black","/movies/?id=meninblack.htm",250690539,"Sony / Columbia","July","Sci-Fi Comedy",97,"PG-13",90
"98","Harry Potter and the Prisoner of Azkaban","/movies/?id=harrypotter3.htm",249541069,"Warner Bros.","June","Fantasy",142,"PG",130
"99","Toy Story 2","/movies/?id=toystory2.htm",245852179,"Buena Vista","November","Animation",92,"G",90
"100","Transformers: Age of Extinction","/movies/?id=transformers4.htm",245439076,"Paramount","June","Sci-Fi Action",165,"PG-13",210
"101","Cars","/movies/?id=cars.htm",244082982,"Buena Vista","June","Animation",116,"G",120
"102","Bruce Almighty","/movies/?id=brucealmighty.htm",242829261,"Universal","May","Fantasy Comedy",101,"PG-13",81
"103","Twister","/movies/?id=twister.htm",241721524,"Warner Bros.","May","Action Drama",113,"PG-13",92
"104","My Big Fat Greek Wedding","/movies/?id=mybigfatgreekwedding.htm",241438208,"IFC","April","Romantic Comedy",95,"PG",5
"105","Maleficent","/movies/?id=maleficient.htm",241410378,"Buena Vista","May","Fantasy",97,"PG",180
"106","Pirates of the Caribbean: On Stranger Tides","/movies/?id=piratesofthecaribbean4.htm",241071802,"Buena Vista","May","Period Adventure",137,"PG-13",250
"107","Shrek Forever After","/movies/?id=shrek4.htm",238736787,"Paramount (DreamWorks)","May","Animation",93,"PG",165
"108","Fast & Furious 6","/movies/?id=fast6.htm",238679850,"Universal","May","Action",130,"PG-13",160
"109","Brave","/movies/?id=bearandthebow.htm",237283207,"Buena Vista","June","Animation",100,"PG",185
"110","Oz The Great and Powerful","/movies/?id=oz.htm",234911825,"Buena Vista","March","Adventure",127,"PG",215
"111","Beverly Hills Cop","/movies/?id=beverlyhillscop.htm",234760478,"Paramount","December","Action Comedy",105,"R",NA
"112","X-Men: The Last Stand","/movies/?id=x3.htm",234362462,"Fox","May","Action / Adventure",104,"PG-13",210
"113","War of the Worlds","/movies/?id=waroftheworlds.htm",234280354,"Paramount","June","Sci-Fi Horror",117,"PG-13",132
"114","X-Men: Days of Future Past","/movies/?id=xmen2014.htm",233921534,"Fox","May","Action / Adventure",131,"PG-13",200
"115","Cast Away","/movies/?id=castaway.htm",233632142,"Fox","December","Drama",143,"PG-13",90
"116","Ghostbusters","/movies/?id=ghostbusters.htm",229242989,"Columbia","June","Horror Comedy",107,"PG",30
"117","The Lost World: Jurassic Park","/movies/?id=jurassicpark2.htm",229086679,"Universal","May","Sci-Fi Horror",129,"PG-13",73
"118","Star Trek Into Darkness","/movies/?id=startrek12.htm",228778661,"Paramount","May","Sci-Fi Adventure",123,"PG-13",190
"119","The Martian","/movies/?id=scott2016.htm",228433663,"Fox","October","Sci-Fi",141,"PG-13",108
"120","Signs","/movies/?id=signs.htm",227966634,"Buena Vista","August","Sci-Fi Horror",107,"PG-13",72
"121","Hancock","/movies/?id=hancock.htm",227946274,"Sony / Columbia","July","Fantasy Drama",92,"PG-13",150
"122","The Bourne Ultimatum","/movies/?id=bourneultimatum.htm",227471070,"Universal","August","Action Thriller",111,"PG-13",110
"123","Rush Hour 2","/movies/?id=rushhour2.htm",226164286,"New Line","August","Action Comedy",90,"PG-13",90
"124","WALL-E","/movies/?id=wall-e.htm",223808164,"Buena Vista","June","Animation",97,"G",180
"125","Big Hero 6","/movies/?id=disney2014.htm",222527828,"Buena Vista","November","Animation",108,"PG",165
"126","National Treasure: Book of Secrets","/movies/?id=nationaltreasure2.htm",219964115,"Buena Vista","December","Adventure",124,"PG",NA
"127","Alvin and the Chipmunks: The Squeakquel","/movies/?id=alvinandthechipmunksii.htm",219614612,"Fox","December","Family Comedy",88,"PG",75
"128","Mrs. Doubtfire","/movies/?id=mrsdoubtfire.htm",219195243,"Fox","November","Family Comedy",125,"PG-13",25
